0	4	1
0	168	0
1	0	1
1	1	1
1	2	1
1	11	1
1	29	1
1	14	0
1	190	0
1	43	0
1	60	0
1	84	0
2	43	1
2	30	1
2	174	1
2	167	1
2	197	0
2	117	0
2	195	0
2	109	0
3	2	1
3	106	1
3	107	1
3	155	1
3	188	1
3	30	1
3	112	0
3	142	0
3	162	0
3	133	0
3	9	0
3	121	0
4	1	1
4	3	1
4	5	1
4	69	1
4	7	1
4	77	1
4	14	1
4	16	1
4	90	1
4	27	1
4	28	1
4	192	0
4	218	0
4	153	0
4	65	0
4	102	0
4	13	0
4	89	0
4	22	0
4	140	0
4	36	0
4	114	0
5	2	1
5	68	1
5	69	1
5	8	1
5	146	1
5	29	1
5	192	0
5	176	0
5	83	0
5	92	0
5	112	0
5	52	0
6	54	1
6	10	1
6	6	1
6	55	1
6	2	0
6	164	0
6	34	0
6	108	0
7	0	1
7	36	1
7	111	1
7	17	1
7	27	1
7	154	0
7	165	0
7	115	0
7	53	0
7	54	0
8	20	1
8	23	1
8	57	1
8	29	1
8	94	1
8	34	0
8	206	0
8	213	0
8	174	0
8	83	0
9	65	1
9	10	1
9	6	1
9	202	1
9	176	0
9	210	0
9	38	0
9	58	0
10	2	1
10	18	1
10	116	1
10	186	0
10	63	0
10	81	0
11	0	1
11	1	1
11	10	1
11	11	1
11	13	1
11	42	0
11	91	0
11	131	0
11	153	0
11	88	0
12	17	1
12	21	1
12	28	1
12	45	1
12	76	0
12	142	0
12	180	0
12	93	0
13	130	1
13	40	1
13	73	1
13	43	1
13	146	1
13	29	1
13	173	0
13	44	0
13	71	0
13	201	0
13	124	0
13	144	0
14	80	1
14	169	1
14	15	1
14	127	1
14	11	0
14	85	0
14	14	0
14	209	0
15	42	1
15	2	1
15	4	1
15	80	0
15	135	0
15	5	0
16	0	1
16	1	1
16	153	1
16	11	1
16	208	0
16	50	0
16	212	0
16	120	0
17	1	1
17	66	1
17	4	1
17	33	1
17	206	0
17	158	0
17	173	0
17	196	0
18	73	1
18	146	1
18	196	1
18	101	0
18	3	0
18	133	0
19	2	1
19	27	1
19	20	1
19	111	1
19	108	0
19	123	0
19	195	0
19	65	0
20	42	1
20	115	1
20	39	1
20	168	0
20	159	0
20	154	0
21	61	1
21	38	1
21	7	1
21	2	0
21	168	0
21	138	0
22	192	1
22	130	1
22	34	1
22	113	1
22	18	1
22	81	1
22	19	1
22	124	1
22	79	0
22	171	0
22	76	0
22	190	0
22	186	0
22	126	0
22	116	0
22	87	0
23	33	1
23	66	1
23	119	1
23	167	1
23	8	0
23	99	0
23	179	0
23	121	0
24	16	1
24	56	1
24	70	1
24	101	0
24	68	0
24	207	0
25	0	1
25	1	1
25	4	1
25	11	1
25	13	1
25	79	1
25	15	1
25	113	0
25	172	0
25	117	0
25	127	0
25	45	0
25	32	0
25	216	0
26	3	1
26	131	1
26	6	1
26	41	1
26	60	1
26	30	1
26	194	0
26	200	0
26	158	0
26	130	0
26	141	0
26	191	0
27	8	1
27	17	1
